 The system contains         2916  particles.
 Step; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
         109 ;   207.95834759728086      ;  -24164.024867743763      ;  -23956.066520146484      ;   5.6819617223744965      ;   2.3572076440265123E-031 ;   6.7644597642565682E-002 ;  0.43180382776255033     
         110 ;   205.76598072514258      ;  -24161.831574303098      ;  -23956.065593577954      ;   5.6220605700869495      ;   2.4887408656844898E-031 ;   6.6938703633513605E-002 ;  0.43779394299130503     
         111 ;   203.57544304551809      ;  -24159.639982069028      ;  -23956.064539023511      ;   5.5622093960857555      ;   5.8029537326408412E-032 ;   6.6233379853849042E-002 ;  0.44377906039142445     
         112 ;   201.38723010754651      ;  -24157.450458610350      ;  -23956.063228502804      ;   5.5024217400593836      ;   7.7568618383360971E-031 ;   6.5528785946752641E-002 ;  0.44975782599406167     
         113 ;   199.20183698302912      ;  -24155.264138979983      ;  -23956.062301996953      ;   5.4427111286541860      ;   1.6699852809057574E-030 ;   6.4825081374739080E-002 ;  0.45572888713458137     
         114 ;   197.01975812230117      ;  -24153.082797604497      ;  -23956.063039482196      ;   5.3830910715364553      ;   2.1122840254883661E-030 ;   6.4122425837173466E-002 ;  0.46169089284635445     
         115 ;   194.84148717327844      ;  -24150.903472248719      ;  -23956.061985075441      ;   5.3235750564482993      ;   2.4809721887018548E-030 ;   6.3420044266881900E-002 ;  0.46764249435517002     
         116 ;   192.66751687833036      ;  -24148.728575601213      ;  -23956.061058722884      ;   5.2641765463899537      ;   5.5411559857687044E-030 ;   6.2719960702988659E-002 ;  0.47358234536100463     
         117 ;   190.49833892733719      ;  -24146.558855355524      ;  -23956.060516428188      ;   5.2049089756049129      ;   8.1164367896780500E-031 ;   6.2021403557867852E-002 ;  0.47950910243950873     
         118 ;   188.33444378592515      ;  -24144.394545982537      ;  -23956.060102196610      ;   5.1457857448868785      ;   1.1828658831846816E-030 ;   6.1324531370339851E-002 ;  0.48542142551131218     
         119 ;   186.17632054524543      ;  -24142.236648573857      ;  -23956.060328028612      ;   5.0868202174753234      ;   4.6374741886338136E-031 ;   6.0629502127824933E-002 ;  0.49131797825246770     
         120 ;   184.02445674383762      ;  -24140.084370711298      ;  -23956.059913967460      ;   5.0280257141883471      ;   1.0441822833497750E-031 ;   5.9936473363211423E-002 ;  0.49719742858116533     
         121 ;   181.87933823527638      ;  -24137.938710270555      ;  -23956.059372035277      ;   4.9694155098064323      ;   1.4057864621132412E-030 ;   5.9245601483267130E-002 ;  0.50305844901935681     
         122 ;   179.74144904893242      ;  -24135.801303242879      ;  -23956.059854193947      ;   4.9110028292680745      ;   1.1984911456806775E-031 ;   5.8557043035300037E-002 ;  0.50889971707319259     
         123 ;   177.61127119615156      ;  -24133.668791745280      ;  -23956.057520549130      ;   4.8528008423740943      ;   1.3211991037893077E-030 ;   5.7870953629393165E-002 ;  0.51471991576259057     
         124 ;   175.48928453123708      ;  -24131.546903504965      ;  -23956.057618973726      ;   4.7948226599893111      ;   1.4853773828922360E-030 ;   5.7187489353944299E-002 ;  0.52051773400106893     
         125 ;   173.37596662546815      ;  -24129.434836150915      ;  -23956.058869525448      ;   4.7370813306004029      ;   4.6594329932783706E-031 ;   5.6506802590239380E-002 ;  0.52629186693995966     
         126 ;   171.27179255148624      ;  -24127.330760806133      ;  -23956.058968254645      ;   4.6795898344247799      ;   1.3895831564460080E-030 ;   5.5829047047964028E-002 ;  0.53204101655752201     
         127 ;   169.17723476129146      ;  -24125.236045919810      ;  -23956.058811158517      ;   4.6223610800771295      ;   3.9641991974990347E-031 ;   5.5154376320735068E-002 ;  0.53776389199228702     
         128 ;   167.09276293746888      ;  -24123.151929151587      ;  -23956.059166214120      ;   4.5654079005045345      ;   3.8426456745583724E-031 ;   5.4481717046597669E-002 ;  0.54345920994954655     
         129 ;   165.01884385476035      ;  -24121.077981317070      ;  -23956.059137462311      ;   4.5087430492042548      ;   1.0579588908682882E-030 ;   5.3812960026922811E-002 ;  0.54912569507957454     
         130 ;   162.95594119138164      ;  -24119.014538120060      ;  -23956.058596928677      ;   4.4523791950684206      ;   1.7216336396990917E-030 ;   5.3148440510290836E-002 ;  0.55476208049315789     
         131 ;   160.90451535875283      ;  -24116.962443957378      ;  -23956.057928598624      ;   4.3963289177318279      ;   3.7673679683370141E-031 ;   5.2487606243039324E-002 ;  0.56036710822681723     
         132 ;   158.86502336228074      ;  -24114.923051816226      ;  -23956.058028453946      ;   4.3406047037681503      ;   4.7915626191680980E-031 ;   5.1830603885315962E-002 ;  0.56593952962318494     
         133 ;   156.83791865439548      ;  -24112.894895237529      ;  -23956.056976583131      ;   4.2852189426745202      ;   2.7441582430990612E-031 ;   5.1177580954412459E-002 ;  0.57147810573254798     
         134 ;   154.82365100319112      ;  -24110.881623893503      ;  -23956.057972890310      ;   4.2301839232824445      ;   1.4603528920766866E-031 ;   5.0526802127970720E-002 ;  0.57698160767175555     
         135 ;   152.82266629028092      ;  -24108.880739767174      ;  -23956.058073476892      ;   4.1755118282346908      ;   1.7580180460019438E-031 ;   4.9882164954521566E-002 ;  0.58244881717653096     
         136 ;   150.83540638162771      ;  -24106.892940702699      ;  -23956.057534321073      ;   4.1212147304560363      ;   7.9274633348750347E-031 ;   4.9241123976977698E-002 ;  0.58787852695439635     
         137 ;   148.86230892709457      ;  -24104.918920363329      ;  -23956.056611436234      ;   4.0673045876764711      ;   6.4886866703097487E-031 ;   4.8605448244384925E-002 ;  0.59326954123235287     
         138 ;   146.90380727175324      ;  -24102.959752084007      ;  -23956.055944812255      ;   4.0137932400079155      ;   1.8493043844162181E-031 ;   4.7974464741562119E-002 ;  0.59862067599920843     
         139 ;   144.96033033481740      ;  -24101.015352795279      ;  -23956.055022460463      ;   3.9606924066363605      ;   3.7639772814879068E-031 ;   4.7348311423535613E-002 ;  0.60393075933636398     
         140 ;   143.03230237234155      ;  -24099.088066750886      ;  -23956.055764378543      ;   3.9080136793381888      ;   8.3059995486624354E-031 ;   4.6727126882902252E-002 ;  0.60919863206618108     
         141 ;   141.12014285023409      ;  -24097.174729495739      ;  -23956.054586645503      ;   3.8557685190105611      ;   1.3615200587213729E-030 ;   4.6110085501722985E-002 ;  0.61442314809894394     
         142 ;   139.22426628209720      ;  -24095.278187482872      ;  -23956.053921200775      ;   3.8039682512407800      ;   1.0154803131850830E-030 ;   4.5499235569094965E-002 ;  0.61960317487592198     
         143 ;   137.34508209060391      ;  -24093.398850167705      ;  -23956.053768077101      ;   3.7526240625187501      ;   3.4418382539097839E-031 ;   4.4892600790213566E-002 ;  0.62473759374812499     
         144 ;   135.48299454224747      ;  -24091.537761780299      ;  -23956.054767238053      ;   3.7017469984541682      ;   8.9142209061201342E-031 ;   4.4292614248706723E-002 ;  0.62982530015458316     
         145 ;   133.63840259698566      ;  -24089.694169338869      ;  -23956.055766741883      ;   3.6513479596684082      ;   1.0186080339822848E-030 ;   4.3698255989100723E-002 ;  0.63486520403315916     
         146 ;   131.81169966332533      ;  -24087.868082275698      ;  -23956.056382612373      ;   3.6014376951027991      ;   9.1045425449077102E-031 ;   4.3107988012934598E-002 ;  0.63985623048972007     
         147 ;   130.00327349090810      ;  -24086.057584401700      ;  -23956.054310910793      ;   3.5520267990837864      ;   1.0340183135575338E-032 ;   4.2525265594199065E-002 ;  0.64479732009162138     
         148 ;   128.21350604216602      ;  -24084.268945512391      ;  -23956.055439470227      ;   3.5031257078162326      ;   1.8027042770238361E-031 ;   4.1948547507195247E-002 ;  0.64968742921837674     
