 The system contains         2916  particles.
 Time; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
          12    1030.4816317194179        -23256.137290032333      ;  -22225.655658312917         28.155432348301197         28.000000000000000         1.7847971904303208E-030   0.33378344968791995     
          12    880.21431784843014        -23429.420022133156      ;  -22549.205704284726         24.049739379474438         24.000000000000000         2.7360465181009549E-031   0.28517268911916621     
          11    812.83186240211796        -23513.655162093601      ;  -22700.823299691481         22.208675834639095         22.000000000000000         3.9730065623167315E-031   0.26337477099636730     
          13    957.28120213213401        -23342.032225781575      ;  -22384.751023649442         26.155406651897007         26.000000000000000         5.7038213432065571E-031   0.31009866490626342     
          13    1030.7635076483152        -23256.419548574730      ;  -22225.656040926413         28.163133930165827         28.000000000000000         5.3176074981988105E-032   0.33387534927161477     
          13    880.31382865977230        -23429.519019653679      ;  -22549.205190993907         24.052458273077608         24.000000000000000         3.8484476468741659E-030   0.28520565296398176     
          12    812.83704227860073        -23513.660724313118      ;  -22700.823682034519         22.208817362306736         22.000000000000000         3.4481840477731832E-031   0.26337718645710573     
          14    957.47630548398922        -23342.227199577530      ;  -22384.750894093540         26.160737381776119         26.000000000000000         9.8000013957722831E-031   0.31016259641215466     
          14    1031.0436776582180        -23256.699076831133      ;  -22225.655399172916         28.170788901896550         28.000000000000000         1.2896359784397442E-030   0.33396665372898782     
          14    880.41176566368210        -23429.621050551261      ;  -22549.209284887580         24.055134166177595         24.000000000000000         1.3307231154942541E-030   0.28523999584156789     
          13    812.84013345369442        -23513.661509987498      ;  -22700.821376533804         22.208901821232104         22.000000000000000         1.3389817908955030E-030   0.26337888998358355     
          15    957.66971466630685        -23342.415743251371      ;  -22384.746028585065         26.166021822546984         26.000000000000000         2.2082437986906163E-031   0.31022593993443359     
          15    1031.3221589857064        -23256.974612794504      ;  -22225.652453808798         28.178397734441461         28.000000000000000         7.6453349074687348E-031   0.33405736862413982     
          15    880.50815499460759        -23429.716669702651      ;  -22549.208514708043         24.057767772835334         24.000000000000000         2.1530337347126309E-031   0.28527197192071707     
          14    812.84116432033170        -23513.664203262102      ;  -22700.823038941769         22.208929987183801         22.000000000000000         3.8283611987851484E-031   0.26337989067202860     
          16    957.86145012212251        -23342.607732998815      ;  -22384.746282876691         26.171260532766379         26.000000000000000         1.8801463427883204E-031   0.31028870155978833     
          16    1031.5989708591076        -23257.252574800863      ;  -22225.653603941755         28.185960953168369         28.000000000000000         3.5180089153042597E-031   0.33414604768587058     
          16    880.60302360810238        -23429.811024564879      ;  -22549.208000956776         24.060359829546496         24.000000000000000         3.9186267811195012E-031   0.28530341858290670     
          15    812.84016453980223        -23513.662433443602      ;  -22700.822268903801         22.208902670585239         22.000000000000000         1.1449075608304840E-030   0.26338019851583966     
          17    958.05153461297334        -23342.794999590609      ;  -22384.743464977637         26.176454134338574         26.000000000000000         1.8770056437594976E-031   0.31034943461719083     
          17    1031.8741355374057        -23257.526585640637      ;  -22225.652450103233         28.193479166250480         28.000000000000000         3.2983868546638548E-031   0.33422707324161682     
          17    880.69640076154906        -23429.904783650374      ;  -22549.208382888824         24.062911135698705         24.000000000000000         7.4385248980552186E-031   0.28533434477214303     
          16    812.83716539374041        -23513.663783913169      ;  -22700.826618519430         22.208820726131844         22.000000000000000         7.9350732679406141E-031   0.26338151366783147     
          18    958.23999204387951        -23342.984862763118      ;  -22384.744870719238         26.181603280410744         26.000000000000000         2.0095349199267792E-030   0.31040625860486593     
          18    1032.1476760658475        -23257.798716170666      ;  -22225.651040104818         28.200953003343731         28.000000000000000         4.4619946272503086E-031   0.33432225090034523     
          18    880.78831769024225        -23429.996442489137      ;  -22549.208124798894         24.065422544721265         24.000000000000000         5.0467159118600348E-030   0.28536334172925898     
          17    812.83219970653158        -23513.657664226452      ;  -22700.825464519919         22.208685050671004         22.000000000000000         5.3003403407970364E-031   0.26338055463095289     
          19    958.42684875961561        -23343.172229573589      ;  -22384.745380813973         26.186708690790507         26.000000000000000         1.7012001405284087E-030   0.31046740521472410     
